fold,used alpha,n_features_total,n_features_selected,train_c_index,test_c_index,n_test
1,0.01015110749106089,50,16,0.7076784912438258,0.6168067226890757,112
2,0.030535745510672466,50,5,0.6344382081965477,0.5748898678414097,111
3,0.01348771499070222,50,9,0.6768936839739267,0.49493243243243246,111
4,0.002822575010412938,50,33,0.8046948356807512,0.6838235294117647,111
5,0.028011893315621542,50,6,0.6614291863969005,0.5073068893528184,111
