fold,alpha,n_features_total,n_features_selected,test_c_index,n_test
1,0.007088325834297738,577,100,0.4907563025210084,112
2,0.010287944824960097,577,80,0.6321585903083701,111
3,0.0005307617169386481,577,541,0.6199324324324325,111
4,0.0009738066687282672,577,524,0.5529411764705883,111
5,0.006468039809291762,577,104,0.5281837160751566,111
